,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
19,0,0,0,0,0,0,0,0,1,0,1,2,5,9,24,47,76,99,71,52,52,48,47,38,35,21,22,28,17,12,9,9,8,5,9,8,5,6,6,4,2,3,2,0,5,1,5,3,2,1,2,1,5,2,5,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,10,17,24,19,28,35,46,56,64,58,58,41,36,31,21,16,16,27,16,14,16,10,11,8,7,1,5,5,2,3,2,0,2,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,10,13,20,28,25,41,56,72,59,48,56,47,40,33,34,26,34,24,18,20,5,17,9,3,9,7,4,5,6,6,2,2,4,1,1,0,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,13,17,14,36,43,65,70,51,57,59,45,40,37,19,17,22,13,14,18,8,7,7,2,7,4,3,4,7,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,8,12,9,18,33,43,66,68,53,58,57,52,42,37,33,28,15,21,22,12,6,3,10,5,10,3,6,7,5,1,4,3,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,12,6,12,21,47,54,84,69,48,76,59,40,36,43,22,31,20,15,13,13,14,9,14,9,10,6,6,4,1,2,1,1,2,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,10,7,13,14,23,32,48,47,46,45,44,44,37,32,40,22,18,21,18,18,14,8,7,9,5,6,8,1,0,1,2,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,7,15,19,34,34,61,47,64,78,61,53,43,55,42,41,37,28,24,23,18,14,11,10,10,10,8,3,1,2,4,4,7,0,2,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,4,10,14,23,24,54,44,47,58,60,49,53,46,33,28,23,33,17,24,22,11,12,6,12,9,5,2,4,1,1,0,1,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,6,18,30,33,46,47,55,65,46,54,50,43,39,33,33,27,30,16,16,14,11,15,11,7,4,5,3,2,1,1,2,1,1,2,2,0,1,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,3,8,22,25,34,32,43,40,37,32,35,49,42,32,20,32,27,7,18,18,10,6,10,6,4,6,1,1,1,3,1,3,0,4,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,5,11,15,30,29,44,45,49,45,60,40,47,46,38,40,36,30,20,19,17,12,18,13,9,6,5,2,0,1,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,7,7,19,17,29,34,59,58,57,53,52,53,53,49,38,32,33,24,16,19,23,20,14,13,7,3,0,1,4,5,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,2,7,7,17,25,29,25,53,28,43,40,45,56,45,43,38,36,35,25,20,30,16,20,10,14,10,4,2,3,1,2,3,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
